,Player,Nationality,Position,Club Team,League,Age,Matches Played,Goals,Assists,Expected Goals
299,Beto,gw GNB,FW,Udinese,it Serie A,25,1,0,0,0.0
300,Davide Bettella,it ITA,MF,Monza,it Serie A,23,1,0,0,0.0
301,Sam Beukema,nl NED,DF,Bologna,it Serie A,24,30,1,1,1.9
302,Jordan Beyer,de GER,DF,Burnley,eng Premier League,23,15,0,1,0.5
303,Pep Biel,es ESP,"MF,FW",Augsburg,de Bundesliga,26,11,0,0,1.0
304,Jaka Bijol,si SVN,DF,Udinese,it Serie A,24,24,0,0,1.9
305,El Bilal Touré,ml MLI,FW,Atalanta,it Serie A,21,11,2,0,1.2
306,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,27,29,2,2,2.5
307,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,30,29,2,5,1.6
308,Davide Biraschi,it ITA,DF,Genoa,it Serie A,29,1,1,0,0.1
309,Samuele Birindelli,it ITA,DF,Monza,it Serie A,24,35,0,2,1.1
310,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,18,13,0,2,0.4
311,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,26,28,0,0,1.4
312,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,29,29,1,2,2.2
313,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32,32,0,0,0.0
314,Antonio Blanco,es ESP,MF,Alavés,es La Liga,23,33,0,1,0.8
315,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,28,2,0,0,0.0
316,Hendry Blank,de GER,DF,Dortmund,de Bundesliga,18,1,0,0,0.0
317,Ludovic Blas,fr FRA,"FW,MF",Rennes,fr Ligue 1,25,29,4,1,4.7
318,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32,21,0,0,0.0
319,Alexis Blin,fr FRA,MF,Lecce,it Serie A,26,31,0,2,1.1
320,Daley Blind,nl NED,DF,Girona,es La Liga,33,34,1,2,1.7
321,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,22,9,1,0,0.4
322,Benicio Boaitey,eng ENG,"FW,DF",Brighton,eng Premier League,19,5,0,0,0.0
323,Jérôme Boateng,de GER,DF,Salernitana,it Serie A,34,7,0,0,0.0
324,Oscar Bobb,no NOR,"FW,MF",Manchester City,eng Premier League,20,14,1,1,1.4
325,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,22,2,0,0,0.2
326,Jeremie Boga,ci CIV,FW,Nice,fr Ligue 1,26,28,6,6,4.3
327,Jayden Bogle,eng ENG,DF,Sheffield Utd,eng Premier League,23,34,3,0,2.3
328,Emil Bohinen,no NOR,MF,Genoa,it Serie A,24,5,0,0,0.0
329,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,24,12,0,0,0.1
330,Adama Bojang,gm GAM,FW,Reims,fr Ligue 1,19,9,0,0,1.3
331,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,24,30,1,0,0.5
332,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,32,20,2,1,1.5
333,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,33,31,8,3,5.7
334,Federico Bonazzoli,it ITA,"FW,MF",Hellas Verona,it Serie A,26,24,3,1,2.9
335,Warren Bondo,fr FRA,MF,Monza,it Serie A,19,25,1,1,0.9
336,Giovanni Bonfanti,it ITA,DF,Atalanta,it Serie A,20,2,0,0,0.1
337,Victor Boniface,ng NGA,FW,Leverkusen,de Bundesliga,22,23,14,8,15.4
338,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,27,1,0,0,0.0
339,Kevin Bonifazi,it ITA,DF,Frosinone,it Serie A,27,6,0,0,0.0
340,Leonardo Bonucci,it ITA,DF,Union Berlin,de Bundesliga,36,7,1,0,0.8
341,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26,28,0,1,0.5
342,Yvandro Borges Sanches,lu LUX,"MF,FW",Gladbach,de Bundesliga,19,3,0,0,0.0
343,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,24,20,0,0,0.8
344,Rafael Borré,co COL,FW,Werder Bremen,de Bundesliga,27,19,4,0,2.4
345,Gennaro Borrelli,it ITA,FW,Frosinone,it Serie A,23,1,0,0,0.0
346,Adri Bosch,es ESP,DF,Granada,es La Liga,22,1,0,0,0.0
347,Erik Botheim,no NOR,"FW,MF",Salernitana,it Serie A,23,7,0,0,0.1
348,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,23,17,2,2,0.6
349,Saïmon Bouabré,fr FRA,MF,Monaco,fr Ligue 1,17,1,0,0,0.0
350,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,15,9,0,0,0.0
351,Badredine Bouanani,dz ALG,FW,Nice,fr Ligue 1,18,7,0,0,0.2
352,Badredine Bouanani,dz ALG,MF,Lorient,fr Ligue 1,18,11,1,0,1.4
353,Mohamed Bouchenna,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,17,2,0,0,0.1
354,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,23,29,2,0,3.3
355,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32,1,0,0,0.0
356,Mehdi Bourabia,ma MAR,MF,Frosinone,it Serie A,31,10,0,0,0.1
357,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,fr Ligue 1,29,32,9,6,9.9
358,Bilal Boutobba,fr FRA,"FW,MF",Clermont Foot,fr Ligue 1,24,27,1,1,2.0
359,Hugo Boutsingkham,fr FRA,"MF,FW",Nantes,fr Ligue 1,20,2,0,0,0.0
360,Edoardo Bove,it ITA,MF,Roma,it Serie A,21,31,0,2,2.0
361,Jarrod Bowen,eng ENG,FW,West Ham,eng Premier League,26,34,16,6,11.6
362,Lucas Boyé,ar ARG,FW,Granada,es La Liga,27,31,6,3,6.2
363,Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,23,34,0,3,0.8
364,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,20,11,1,3,0.9
365,Bilal Brahimi,dz ALG,FW,Nice,fr Ligue 1,23,2,0,0,0.0
366,Bilal Brahimi,dz ALG,"FW,MF",Brest,fr Ligue 1,23,18,0,0,0.1
367,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,27,32,7,11,4.4
368,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,21,35,3,0,1.7
369,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31,2,0,0,0.0
370,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23,30,3,0,1.1
371,Brau,es ESP,DF,Granada,es La Liga,21,1,0,0,0.0
372,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40,7,0,0,0.0
373,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28,4,0,0,0.0
374,Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,21,16,0,0,0.1
375,Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,25,11,1,0,0.4
376,Gleison Bremer,br BRA,DF,Juventus,it Serie A,26,36,3,0,1.4
377,Brenner,br BRA,"MF,FW",Udinese,it Serie A,23,8,0,0,0.4
378,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,eng Premier League,24,14,6,1,6.1
379,Ben Brereton,cl CHI,"FW,MF",Villarreal,es La Liga,24,14,0,0,0.2
380,Marco Brescianini,it ITA,MF,Frosinone,it Serie A,23,36,4,2,2.3
381,Maximilian Breunig,de GER,FW,Freiburg,de Bundesliga,22,2,0,0,0.0
382,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,23,13,0,0,0.4
383,Bennit Bröger,de GER,FW,Wolfsburg,de Bundesliga,17,1,0,0,0.0
384,Armando Broja,al ALB,FW,Chelsea,eng Premier League,21,13,1,0,2.4
385,Armando Broja,al ALB,FW,Fulham,eng Premier League,21,8,0,1,0.0
386,Dylan Bronn,tn TUN,"DF,MF",Salernitana,it Serie A,28,4,0,0,0.0
387,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,eng Premier League,19,20,0,0,0.4
388,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,26,13,1,1,2.2
389,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30,21,2,0,2.6
390,Moritz Broschinski,de GER,FW,Bochum,de Bundesliga,22,26,2,3,2.4
391,Jacob Brown,sct SCO,"MF,FW",Luton Town,eng Premier League,25,19,2,0,2.8
392,Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,27,33,4,2,1.9
393,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28,3,0,0,0.0
394,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,24,32,6,0,5.0
395,Tajon Buchanan,ca CAN,DF,Inter,it Serie A,24,10,1,0,0.2
396,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,32,33,17,2,14.2
397,Hugo Bueno,es ESP,"DF,MF",Wolves,eng Premier League,20,22,0,0,0.3
398,Manu Bueno,es ESP,MF,Sevilla,es La Liga,19,4,0,0,0.0
399,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,24,12,0,0,0.0
400,Marius Bülter,de GER,"DF,FW",Hoffenheim,de Bundesliga,30,30,1,4,1.4
401,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,eng Premier League,18,27,3,1,2.4
402,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24,29,3,0,1.6
403,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,de Bundesliga,23,21,8,2,6.1
404,Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,26,1,0,0,0.0
405,Reece Burke,eng ENG,DF,Luton Town,eng Premier League,26,22,0,4,1.3
406,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31,33,2,2,3.1
407,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,19,1,0,1,0.0
408,Mason Burstow,eng ENG,FW,Chelsea,eng Premier League,19,2,0,0,0.0
409,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,28,16,0,0,0.1
410,Maxime Busi,be BEL,"FW,DF",Reims,fr Ligue 1,23,5,0,0,0.2
411,Pablo Busto,es ESP,DF,Betis,es La Liga,17,2,0,0,0.0
412,Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,de Bundesliga,26,30,1,1,0.5
413,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23,34,0,0,0.1
414,Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,33,30,2,2,5.2
415,Jovane Cabral,cv CPV,"MF,FW",Salernitana,it Serie A,25,12,1,0,1.2
416,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22,31,0,1,0.4
417,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,26,31,2,3,1.5
418,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,21,35,1,3,0.4
419,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32,34,1,4,1.1
420,Jens Cajuste,se SWE,MF,Napoli,it Serie A,23,26,0,2,1.5
421,Davide Calabria,it ITA,DF,Milan,it Serie A,26,29,1,3,1.3
422,Riccardo Calafiori,it ITA,DF,Bologna,it Serie A,21,30,2,5,1.4
423,Mattia Caldara,it ITA,DF,Milan,it Serie A,29,1,0,0,0.2
424,Luca Caldirola,it ITA,DF,Monza,it Serie A,32,29,1,1,0.5
425,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,26,24,0,0,0.5
426,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29,32,13,3,10.1
427,José Callejón,es ESP,"MF,FW",Granada,es La Liga,36,25,0,1,1.3
428,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26,32,7,2,12.9
429,Lamine Camara,sn SEN,MF,Metz,fr Ligue 1,19,31,1,4,2.2
430,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25,32,7,3,4.9
431,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23,20,1,2,1.5
432,Francesco Camarda,it ITA,FW,Milan,it Serie A,15,2,0,0,0.0
433,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,20,31,0,2,0.9
434,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,it Serie A,22,37,1,1,3.9
435,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,23,34,2,3,2.2
436,Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,19,7,0,0,0.2
437,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22,31,3,1,4.5
438,José Campaña,es ESP,MF,Las Palmas,es La Liga,30,8,0,0,0.0
439,Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,29,25,2,2,2.2
440,Matteo Cancellieri,it ITA,"FW,MF",Empoli,it Serie A,21,36,4,3,4.7
441,João Cancelo,pt POR,DF,Barcelona,es La Liga,29,32,2,4,1.6
442,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,25,25,0,1,0.8
443,Antonio Candreva,it ITA,"MF,FW",Salernitana,it Serie A,36,34,6,6,4.9
444,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20,1,0,0,0.0
445,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,26,27,1,2,2.8
446,Luigi Canotto,it ITA,FW,Frosinone,it Serie A,29,1,0,0,0.0
447,Gino Caoki,fr FRA,MF,Lorient,fr Ligue 1,19,1,0,0,0.0
448,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35,32,1,1,1.0
449,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,30,6,0,0,0.7
450,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,23,0,0,0.0
451,Francesco Caputo,it ITA,FW,Empoli,it Serie A,35,20,3,0,3.4
452,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23,34,1,3,2.1
453,Andrea Carboni,it ITA,DF,Monza,it Serie A,22,21,1,0,1.2
454,Valentin Carboni,ar ARG,"MF,FW",Monza,it Serie A,18,31,2,3,2.3
455,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30,35,0,0,0.6
456,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,26,1,0,0,0.0
457,Irvin Cardona,fr FRA,"MF,DF",Augsburg,de Bundesliga,25,3,0,0,0.2
458,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28,26,4,1,4.2
459,Sergi Cardona,es ESP,DF,Las Palmas,es La Liga,24,35,1,2,2.7
460,Johnny Cardoso,us USA,MF,Betis,es La Liga,21,17,1,2,1.1
461,Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,26,5,0,0,0.0
462,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30,27,0,0,1.9
463,Carmona,es ESP,"DF,MF",Getafe,es La Liga,21,30,1,1,0.8
464,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23,27,0,0,0.0
465,Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,29,3,0,1,0.1
466,Álvaro Carreras,es ESP,"MF,FW",Granada,es La Liga,20,13,0,0,0.4
467,Rasmus Carstensen,dk DEN,"DF,FW",Köln,de Bundesliga,22,23,0,0,0.9
468,Antonin Cartillier,fr FRA,DF,Monaco,fr Ligue 1,19,1,0,0,0.0
469,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31,28,4,3,1.7
470,Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,20,9,0,0,0.2
471,William Carvalho,pt POR,MF,Betis,es La Liga,31,22,1,3,0.4
472,Cesare Casadei,it ITA,"FW,MF",Chelsea,eng Premier League,20,11,0,0,0.0
473,Marc Casado,es ESP,MF,Barcelona,es La Liga,19,2,0,0,0.0
474,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25,20,0,0,0.9
475,Casemiro,br BRA,"MF,DF",Manchester Utd,eng Premier League,31,25,1,2,3.5
476,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,18,1,0,0,0.0
477,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25,29,2,2,4.2
478,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,21,30,0,5,1.9
479,Giuseppe Caso,it ITA,"FW,MF",Frosinone,it Serie A,24,14,0,0,0.3
480,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,23,32,1,3,1.1
481,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,27,34,1,3,1.6
482,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31,25,0,0,0.0
483,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,24,35,4,3,7.3
484,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,28,28,2,0,0.6
485,Samu Castillejo,es ESP,"FW,MF",Sassuolo,it Serie A,28,17,0,0,0.3
486,Jonny Castro,es ESP,MF,Wolves,eng Premier League,29,1,0,0,0.0
487,Santiago Castro,ar ARG,FW,Bologna,it Serie A,18,8,1,1,1.0
488,Gaetano Castrovilli,it ITA,"FW,MF",Fiorentina,it Serie A,26,6,1,2,0.3
489,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,28,28,1,0,0.4
490,Catena,es ESP,DF,Osasuna,es La Liga,28,30,1,3,1.3
491,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26,20,0,1,0.4
492,Ivan Cavaleiro,pt POR,FW,Lille,fr Ligue 1,29,17,1,1,1.3
493,Dani Ceballos,es ESP,"MF,FW",Real Madrid,es La Liga,26,20,0,2,0.3
494,Emil Ceide,no NOR,"FW,MF",Sassuolo,it Serie A,21,11,0,0,0.1
495,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26,17,0,0,0.2
496,Álex Centelles,es ESP,DF,Almería,es La Liga,25,14,0,1,0.0
497,Fabien Centonze,fr FRA,DF,Hellas Verona,it Serie A,27,10,0,1,0.0
498,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,27,3,0,0,0.0
499,Václav Černý,cz CZE,"FW,MF",Wolfsburg,de Bundesliga,25,22,4,1,2.3
500,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,24,8,0,0,0.0
501,Alberto Cerri,it ITA,FW,Empoli,it Serie A,27,12,1,0,1.2
502,Leonardo Cerri,it ITA,DF,Juventus,it Serie A,20,1,0,0,0.0
503,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,29,17,0,1,0.5
504,Julian Chabot,de GER,DF,Köln,de Bundesliga,25,32,0,0,1.4
505,El Chadaille Bitshiabu,fr FRA,"DF,MF",RB Leipzig,de Bundesliga,18,6,0,0,0.0
506,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,fr Ligue 1,20,2,0,1,0.0
507,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,20,28,2,4,3.1
508,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,24,13,1,0,0.2
509,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,fr Ligue 1,22,33,8,4,9.4
510,Calum Chambers,eng ENG,"MF,DF",Aston Villa,eng Premier League,28,5,0,1,0.0
511,Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,33,6,0,1,0.1
512,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,28,33,1,1,1.5
513,Charlys,br BRA,MF,Hellas Verona,it Serie A,19,2,0,0,0.0
514,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,es La Liga,25,22,1,1,1.0
515,Jhoanner Chávez,ec ECU,DF,Lens,fr Ligue 1,21,8,0,0,0.3
516,Walid Cheddira,ma MAR,FW,Frosinone,it Serie A,25,36,7,1,9.0
517,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,19,33,1,6,5.2
518,Youssef Chermiti,pt POR,FW,Everton,eng Premier League,19,18,0,0,0.7
519,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21,33,0,0,0.0
520,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,18,7,0,0,0.0
521,Federico Chiesa,it ITA,FW,Juventus,it Serie A,25,33,9,2,6.4
522,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,26,13,0,1,1.2
523,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,eng Premier League,19,8,0,0,0.2
524,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,26,32,1,1,1.5
525,Leon Chiwome,eng ENG,FW,Wolves,eng Premier League,17,3,0,0,0.1
526,Tahith Chong,nl NED,"MF,FW",Luton Town,eng Premier League,23,33,4,0,2.7
527,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21,31,0,3,0.6
528,Andreas Christensen,dk DEN,"DF,MF",Barcelona,es La Liga,27,30,2,2,1.0
529,Jacob Christensen,dk DEN,MF,Köln,de Bundesliga,22,7,0,0,0.0
530,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,24,4,0,0,0.0
531,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,28,37,0,5,2.3
532,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,eng Premier League,19,9,1,1,0.2
533,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,24,24,1,3,1.7
534,Chumi,es ESP,DF,Almería,es La Liga,24,31,0,1,1.0
535,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23,22,0,1,0.3
536,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,29,31,1,0,1.5
537,Alphadjo Cissè,it ITA,FW,Hellas Verona,it Serie A,16,1,0,0,0.0
538,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,19,2,0,0,0.0
539,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,fr Ligue 1,20,11,1,1,0.8
540,Giorgio Cittadini,it ITA,DF,Monza,it Serie A,21,1,0,0,0.0
541,Giorgio Cittadini,it ITA,DF,Genoa,it Serie A,21,5,0,0,0.0
542,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,28,22,0,1,1.5
543,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18,5,0,0,0.1
544,Jordan Clark,eng ENG,MF,Luton Town,eng Premier League,29,23,1,1,1.0
545,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,25,18,0,0,0.8
546,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30,27,3,4,1.3
547,Silvi Clúa,es ESP,MF,Girona,es La Liga,18,1,0,0,0.0
548,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,32,19,0,0,0.2
549,Marcus Coco,fr FRA,"DF,FW",Nantes,fr Ligue 1,27,28,1,0,0.8
550,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,24,30,1,0,1.1
551,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34,12,0,0,0.0
552,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,31,22,0,0,0.3
553,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,22,32,1,1,1.7
554,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,19,2,0,0,0.0
555,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21,25,4,1,3.6
556,Andrea Colpani,it ITA,"MF,FW",Monza,it Serie A,24,38,8,4,4.8
557,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,20,23,1,1,1.3
558,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,27,17,3,3,2.8
559,Eray Cömert,ch SUI,DF,Nantes,fr Ligue 1,25,25,2,0,0.7
560,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,26,27,2,0,1.9
561,Pietro Comuzzo,it ITA,"DF,FW",Fiorentina,it Serie A,18,4,0,0,0.0
562,Alois Confais,fr FRA,"MF,FW",Le Havre,fr Ligue 1,26,2,0,0,0.0
563,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36,35,0,0,0.0
564,Bambasé Conté,de GER,"MF,FW",Hoffenheim,de Bundesliga,20,7,0,0,0.2
565,Nikita Contini Baranovsky,it ITA,GK,Napoli,it Serie A,27,1,0,0,0.0
566,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26,33,0,3,0.4
567,Copete,es ESP,DF,Mallorca,es La Liga,23,19,1,1,0.5
568,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19,24,2,0,1.2
569,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,32,17,0,0,0.1
570,Tommaso Corazza,it ITA,DF,Bologna,it Serie A,19,9,0,0,0.1
571,Theo Corbeanu,ca CAN,"MF,FW",Granada,es La Liga,21,9,1,0,0.3
572,Jeppe Corfitzen,dk DEN,FW,Lecce,it Serie A,18,1,0,0,0.0
573,Jack Cork,eng ENG,MF,Burnley,eng Premier League,34,4,0,0,0.0
574,Maxwel Cornet,ci CIV,"MF,FW",West Ham,eng Premier League,26,7,1,0,0.4
575,Giacomo Corona,it ITA,FW,Empoli,it Serie A,19,1,0,0,0.0
576,Jesús Corona,mx MEX,"MF,DF",Sevilla,es La Liga,30,2,0,0,0.0
577,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,28,32,9,2,7.9
578,Joaquín Correa,ar ARG,"FW,MF",Marseille,fr Ligue 1,28,12,0,0,0.6
579,Thierry Correia,pt POR,DF,Valencia,es La Liga,24,31,0,2,0.6
580,Oscar Cortés,co COL,"FW,MF",Lens,fr Ligue 1,19,4,1,1,0.5
581,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,30,19,0,1,0.3
582,David Costa,pt POR,MF,Lens,fr Ligue 1,22,25,4,2,3.0
583,Jaume Costa,es ESP,DF,Mallorca,es La Liga,35,30,0,1,0.3
584,João Costa,br BRA,"MF,FW",Roma,it Serie A,18,3,0,0,0.0
585,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,22,31,1,1,1.4
586,Samu Costa,pt POR,MF,Mallorca,es La Liga,22,34,1,1,1.1
587,Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36,13,0,0,0.0
588,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,24,3,0,0,0.0
589,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30,36,0,7,0.3
590,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,27,28,0,1,0.6
591,Mamadou Coulibaly,sn SEN,DF,Salernitana,it Serie A,24,1,0,0,0.0
592,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,19,5,0,0,0.2
593,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,22,16,1,0,2.6
594,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,31,4,0,0,0.0
595,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,eng Premier League,31,2,0,0,0.1
596,Yan Couto,br BRA,"DF,FW",Girona,es La Liga,21,34,1,8,1.5
597,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,24,13,0,0,0.7
598,Nicolas Cozza,fr FRA,DF,Wolfsburg,de Bundesliga,24,6,0,0,0.0
599,Alessio Cragno,it ITA,GK,Sassuolo,it Serie A,29,3,0,0,0.0
600,Crespo,pt POR,MF,Rayo Vallecano,es La Liga,26,15,0,0,0.1
601,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33,11,0,0,0.0
602,Bryan Cristante,it ITA,"MF,DF",Roma,it Serie A,28,37,3,4,4.0
603,Cristian,es ESP,GK,Valencia,es La Liga,25,1,0,0,0.0
604,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,31,26,0,1,0.0
