Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
Emre Can,82,77,78,74,76,82,86,Germany,Bundesliga,Borussia Dortmund,30,"186cm / 6'1""",86kg / 190lb,CDM
Marco Carnesecchi,82,84,79,71,85,30,83,Italy,Serie A Enilive,Bergamo Calcio,24,"191cm / 6'3""",83kg / 183lb,GK
Koen Casteels,82,82,79,74,85,45,83,Belgium,ROSHN Saudi League,Al Qadisiyah,32,"197cm / 6'6""",86kg / 190lb,GK
Lucas Paquetá,82,72,77,79,85,69,79,Brazil,Premier League,West Ham,27,"180cm / 5'11""",72kg / 159lb,LM
Ángel Correa,82,85,84,77,86,50,75,Argentina,LALIGA EA SPORTS,Atlético de Madrid,29,"171cm / 5'7""",70kg / 154lb,ST
Marc Cucurella,82,75,60,80,80,78,76,Spain,Premier League,Chelsea,26,"173cm / 5'8""",67kg / 148lb,LB
Danilo,82,76,67,74,74,84,77,Brazil,Serie A Enilive,Juventus,33,"184cm / 6'0""",78kg / 172lb,CB
Otávio,82,78,71,81,85,67,74,Portugal,ROSHN Saudi League,Al Nassr,29,"171cm / 5'7""",67kg / 148lb,CAM
Diogo Dalot,82,85,63,77,80,79,79,Portugal,Premier League,Man Utd,25,"183cm / 6'0""",76kg / 168lb,RB
Sergi Darder,82,79,78,82,83,74,77,Spain,LALIGA EA SPORTS,RCD Mallorca,30,"180cm / 5'11""",71kg / 157lb,CM
Alphonso Davies,82,95,66,77,84,72,76,Canada,Bundesliga,FC Bayern München,23,"185cm / 6'1""",77kg / 170lb,LB
Giovanni Di Lorenzo,82,83,67,73,76,79,80,Italy,Serie A Enilive,SSC Napoli,31,"183cm / 6'0""",82kg / 181lb,RB
SBrahim Díaz,82,85,74,78,85,31,56,Morocco,LALIGA EA SPORTS,Real Madrid,25,"170cm / 5'7""",68kg / 150lb,CAM
Denzel Dumfries,82,83,66,73,74,78,88,Holland,Serie A Enilive,Lombardia FC,28,"188cm / 6'2""",80kg / 176lb,RB
Edin Džeko,82,57,82,73,76,45,76,Bosnia and Herzegovina,Trendyol Süper Lig,Fenerbahçe,38,"193cm / 6'4""",80kg / 176lb,ST
Enzo Fernández,82,69,73,82,80,73,77,Argentina,Premier League,Chelsea,23,"178cm / 5'10""",78kg / 172lb,CM
Nacho Fernández,82,73,37,68,71,82,79,Spain,ROSHN Saudi League,Al Qadisiyah,34,"180cm / 5'11""",76kg / 168lb,CB
Gabriel Magalhães Jesus,82,83,80,75,88,39,77,Brazil,Premier League,Arsenal,27,"175cm / 5'9""",73kg / 161lb,ST
Jorginho,82,46,67,83,80,73,71,Italy,Premier League,Arsenal,32,"178cm / 5'10""",68kg / 150lb,CDM
Pau Torres,82,70,41,77,70,83,79,Spain,Premier League,Aston Villa,27,"191cm / 6'3""",80kg / 176lb,CB
Niclas Füllkrug,82,63,84,71,75,43,81,Germany,Premier League,West Ham,31,"188cm / 6'2""",83kg / 183lb,ST
Gayà,82,81,61,77,79,78,74,Spain,LALIGA EA SPORTS,Valencia CF,29,"172cm / 5'8""",66kg / 146lb,LB
Paulo Gazzaniga,82,82,80,83,81,57,82,Argentina,LALIGA EA SPORTS,Girona FC,32,"196cm / 6'5""",90kg / 198lb,GK
Matthias Ginter,82,54,59,71,66,85,75,Germany,Bundesliga,SC Freiburg,30,"189cm / 6'2""",87kg / 192lb,CB
Serge Gnabry,82,80,83,78,84,43,66,Germany,Bundesliga,FC Bayern München,29,"176cm / 5'9""",77kg / 170lb,RM
Anthony Gordon,82,91,78,76,81,49,71,England,Premier League,Newcastle Utd,23,"183cm / 6'0""",72kg / 159lb,LW
Raphaël Guerreiro,82,63,78,85,88,76,56,Portugal,Bundesliga,FC Bayern München,30,"170cm / 5'7""",71kg / 157lb,LB
Péter Gulácsi,82,82,82,75,81,43,83,Hungary,Bundesliga,RB Leipzig,34,"191cm / 6'3""",86kg / 190lb,GK
Fabinho,82,58,69,78,77,80,82,Brazil,ROSHN Saudi League,Al Ittihad,30,"188cm / 6'2""",78kg / 172lb,CDM
Yangel Herrera,82,64,77,76,78,80,81,Venezuela,LALIGA EA SPORTS,Girona FC,26,"184cm / 6'0""",77kg / 170lb,CDM
Jonas Hofmann,82,73,79,81,81,64,72,Germany,Bundesliga,Leverkusen,32,"176cm / 5'9""",72kg / 159lb,CAM
Ciro Immobile,82,82,83,67,78,39,73,Italy,Trendyol Süper Lig,Beşiktaş,34,"185cm / 6'1""",85kg / 187lb,ST
Reece James,82,78,72,83,82,82,82,England,Premier League,Chelsea,24,"179cm / 5'10""",91kg / 201lb,RB
Boubacar Kamara,82,66,54,74,75,83,80,France,Premier League,Aston Villa,24,"184cm / 6'0""",68kg / 150lb,CDM
Franck Yannick Kessié,82,79,77,74,79,80,88,Côte d'Ivoire,ROSHN Saudi League,Al Ahli,27,"183cm / 6'0""",74kg / 163lb,CDM
Randal Kolo Muani,82,90,80,71,81,38,67,France,Ligue 1 McDonald's,Paris SG,25,"187cm / 6'2""",73kg / 161lb,ST
Filip Kostić,82,85,76,81,81,70,80,Serbia,Serie A Enilive,Juventus,31,"184cm / 6'0""",84kg / 185lb,LM
Mohammed Kudus,82,90,77,73,86,60,75,Ghana,Premier League,West Ham,24,"177cm / 5'10""",70kg / 154lb,RM
Dejan Kulusevski,82,75,77,80,83,57,80,Sweden,Premier League,Spurs,24,"186cm / 6'1""",80kg / 176lb,RM
Alexandre Lacazette,82,70,84,76,83,44,75,France,Ligue 1 McDonald's,OL,33,"175cm / 5'9""",73kg / 161lb,ST
Jeremías Conan Ledesma,82,82,79,75,83,46,81,Argentina,Libertadores,River Plate,31,"186cm / 6'1""",83kg / 183lb,GK
Bernd Leno,82,83,79,76,84,53,82,Germany,Premier League,Fulham,32,"189cm / 6'2""",83kg / 183lb,GK
Stanislav Lobotka,82,72,69,80,81,75,75,Slovakia,Serie A Enilive,SSC Napoli,29,"170cm / 5'7""",68kg / 150lb,CM
Ademola Lookman,82,84,81,71,86,31,66,Nigeria,Serie A Enilive,Bergamo Calcio,26,"174cm / 5'9""",71kg / 157lb,ST
Romelu Lukaku,82,79,82,73,74,38,82,Belgium,Serie A Enilive,SSC Napoli,31,"191cm / 6'3""",94kg / 207lb,ST
Gianluca Mancini,82,71,45,56,64,83,85,Italy,Serie A Enilive,AS Roma,28,"190cm / 6'3""",77kg / 170lb,CB
John McGinn,82,68,77,80,82,78,85,Scotland,Premier League,Aston Villa,29,"178cm / 5'10""",68kg / 150lb,CM
Aleksandar Mitrović,82,64,82,62,73,28,88,Serbia,ROSHN Saudi League,Al Hilal,29,"189cm / 6'2""",90kg / 198lb,ST
Nahuel Molina,82,85,67,75,78,78,71,Argentina,LALIGA EA SPORTS,Atlético de Madrid,26,"175cm / 5'9""",70kg / 154lb,RB
Sávio,82,88,72,77,84,30,53,Brazil,Premier League,Manchester City,20,"176cm / 5'9""",71kg / 157lb,LW
Thomas Müller,82,57,82,83,79,55,68,Germany,Bundesliga,FC Bayern München,35,"185cm / 6'1""",76kg / 168lb,CAM
Darwin Núñez,82,90,80,72,78,46,86,Uruguay,Premier League,Liverpool,25,"187cm / 6'2""",81kg / 179lb,ST
Michael Olise,82,80,77,82,84,53,56,France,Bundesliga,FC Bayern München,22,"184cm / 6'0""",73kg / 161lb,RM
Mikel Oyarzabal,82,77,83,81,82,42,63,Spain,LALIGA EA SPORTS,Real Sociedad,27,"181cm / 5'11""",79kg / 174lb,ST
Thomas Partey,82,62,71,80,77,79,82,Ghana,Premier League,Arsenal,31,"185cm / 6'1""",77kg / 170lb,CDM
Tijjani Reijnders,82,80,76,80,84,73,74,Holland,Serie A Enilive,Milano FC,26,"185cm / 6'1""",73kg / 161lb,CM
Fabián Ruiz,82,54,76,80,80,75,72,Spain,Ligue 1 McDonald's,Paris SG,28,"189cm / 6'2""",70kg / 154lb,CM
Brice Samba,82,79,83,80,84,53,81,France,Ligue 1 McDonald's,RC Lens,30,"187cm / 6'2""",90kg / 198lb,GK
Sancet,82,73,77,80,84,70,82,Spain,LALIGA EA SPORTS,Athletic Club,24,"188cm / 6'2""",77kg / 170lb,CAM
Jadon Sancho,82,79,69,78,89,32,50,England,Premier League,Chelsea,24,"180cm / 5'11""",76kg / 168lb,LM
Fabian Schär,82,51,68,77,74,84,79,Switzerland,Premier League,Newcastle Utd,32,"188cm / 6'2""",84kg / 185lb,CB
Patrik Schick,82,74,81,71,81,37,76,Czech Republic,Bundesliga,Leverkusen,28,"191cm / 6'3""",87kg / 192lb,ST
Luke Shaw,82,75,57,82,78,81,78,England,Premier League,Man Utd,29,"181cm / 5'11""",75kg / 165lb,LB
Malcom,82,84,79,79,84,43,72,Brazil,ROSHN Saudi League,Al Hilal,27,"172cm / 5'8""",74kg / 163lb,CAM
Chris Smalling,82,54,47,58,61,85,79,England,ROSHN Saudi League,Al Fayha,34,"194cm / 6'4""",81kg / 179lb,CB
Alexander Sørloth,82,79,82,70,76,36,85,Norway,LALIGA EA SPORTS,Atlético de Madrid,28,"195cm / 6'5""",94kg / 207lb,ST
Anderson Talisca,82,79,84,78,83,53,75,Brazil,ROSHN Saudi League,Al Nassr,30,"191cm / 6'3""",75kg / 165lb,RM
Luis Suárez,82,64,85,78,77,41,75,Uruguay,MLS,Inter Miami CF,37,"182cm / 6'0""",86kg / 190lb,ST
Niklas Süle,82,70,51,67,64,83,79,Germany,Bundesliga,Borussia Dortmund,29,"195cm / 6'5""",99kg / 218lb,CB
Kevin Trapp,82,82,80,76,84,46,79,Germany,Bundesliga,Frankfurt,34,"189cm / 6'2""",84kg / 185lb,GK
Destiny Udogie,82,88,65,74,80,78,80,Italy,Premier League,Spurs,21,"186cm / 6'1""",73kg / 161lb,LB
Dayot Upamecano,82,81,45,63,73,81,85,France,Bundesliga,FC Bayern München,25,"186cm / 6'1""",90kg / 198lb,CB
Micky van de Ven,82,88,47,64,71,83,81,Holland,Premier League,Spurs,23,"193cm / 6'4""",86kg / 190lb,CB
Raphaël Varane,82,73,49,64,69,83,77,France,Serie A Enilive,Como,31,"191cm / 6'3""",81kg / 179lb,CB
Iñaki Williams,82,94,81,72,80,45,84,Ghana,LALIGA EA SPORTS,Athletic Club,30,"186cm / 6'1""",80kg / 176lb,RM
Luciano Acosta,81,79,73,76,85,46,56,Argentina,MLS,FC Cincinnati,30,"161cm / 5'3""",59kg / 130lb,CAM
Edson Álvarez,81,66,58,69,72,83,87,Mexico,Premier League,West Ham,26,"187cm / 6'2""",73kg / 161lb,CDM
Yeray,81,64,49,70,65,83,76,Spain,LALIGA EA SPORTS,Athletic Club,29,"182cm / 6'0""",79kg / 174lb,CB
Waldemar Anton,81,69,46,65,67,81,83,Germany,Bundesliga,Borussia Dortmund,28,"189cm / 6'2""",86kg / 190lb,CB
Alphonse Areola,81,82,77,74,83,55,80,France,Premier League,West Ham,31,"195cm / 6'5""",94kg / 207lb,GK
Marco Asensio,81,76,79,81,83,43,63,Spain,Ligue 1 McDonald's,Paris SG,28,"182cm / 6'0""",76kg / 168lb,RW
Alejandro Balde,81,91,48,73,78,75,64,Spain,LALIGA EA SPORTS,FC Barcelona,20,"175cm / 5'9""",69kg / 152lb,LB
Rodrigo Bentancur,81,67,68,80,82,79,76,Uruguay,Premier League,Spurs,27,"187cm / 6'2""",73kg / 161lb,CM
Álex Berenguer,81,85,75,75,83,64,68,Spain,LALIGA EA SPORTS,Athletic Club,29,"175cm / 5'9""",73kg / 161lb,LM
Sergio Busquets,81,37,61,77,78,78,73,Spain,MLS,Inter Miami CF,36,"189cm / 6'2""",76kg / 168lb,CDM
Bryan Cristante,81,55,74,78,75,78,84,Italy,Serie A Enilive,AS Roma,29,"186cm / 6'1""",80kg / 176lb,CM
Ricardo Horta,81,80,80,80,81,43,70,Portugal,Liga Portugal,SC Braga,29,"173cm / 5'8""",63kg / 139lb,CAM
Rui Silva,81,82,76,77,84,31,81,Portugal,LALIGA EA SPORTS,Real Betis,30,"191cm / 6'3""",91kg / 201lb,GK
Matteo Darmian,81,72,62,75,76,80,75,Italy,Serie A Enilive,Lombardia FC,34,"183cm / 6'0""",70kg / 154lb,RB
Jonathan David,81,82,81,71,78,34,75,Canada,Ligue 1 McDonald's,LOSC Lille,24,"175cm / 5'9""",70kg / 154lb,ST
Richarlison,81,77,80,73,80,53,78,Brazil,Premier League,Spurs,27,"184cm / 6'0""",71kg / 157lb,ST
Luuk de Jong,81,44,80,73,73,57,80,Holland,Eredivisie,PSV,34,"189cm / 6'2""",86kg / 190lb,ST
Fred,81,75,71,79,82,75,78,Brazil,Trendyol Süper Lig,Fenerbahçe,31,"169cm / 5'7""",62kg / 137lb,CDM
Eberechi Eze,81,78,81,78,84,49,69,England,Premier League,Crystal Palace,26,"178cm / 5'10""",67kg / 148lb,CAM
Youssouf Fofana,81,69,68,74,77,78,80,France,Serie A Enilive,Milano FC,25,"185cm / 6'1""",74kg / 163lb,CDM
Davide Frattesi,81,80,74,78,81,71,71,Italy,Serie A Enilive,Lombardia FC,24,"178cm / 5'10""",74kg / 163lb,CM
Remo Freuler,81,60,72,76,77,77,74,Switzerland,Serie A Enilive,Bologna,32,"181cm / 5'11""",80kg / 176lb,CDM
Conor Gallagher,81,73,75,78,78,77,81,England,LALIGA EA SPORTS,Atlético de Madrid,24,"182cm / 6'0""",74kg / 163lb,CM
Alexandr Golovin,81,77,77,80,83,61,68,Russia,Ligue 1 McDonald's,AS Monaco,28,"178cm / 5'10""",69kg / 152lb,LM
Pascal Groß,81,50,77,85,80,73,74,Germany,Bundesliga,Borussia Dortmund,33,"181cm / 5'11""",78kg / 172lb,CDM
Marc Guéhi,81,72,39,65,72,82,77,England,Premier League,Crystal Palace,24,"182cm / 6'0""",82kg / 181lb,CB
Dávid Hancko,81,78,66,72,74,81,80,Slovakia,Eredivisie,Feyenoord,26,"188cm / 6'2""",82kg / 181lb,CB
Benjamin Henrichs,81,74,54,76,78,79,74,Germany,Bundesliga,RB Leipzig,27,"183cm / 6'0""",79kg / 174lb,RB
Piero Hincapié,81,78,40,64,72,81,80,Ecuador,Bundesliga,Leverkusen,22,"184cm / 6'0""",77kg / 170lb,CB
Ferdi Kadıoğlu,81,88,65,75,85,75,76,Turkey,Premier League,Brighton,24,"174cm / 5'9""",73kg / 161lb,LB
Daichi Kamada,81,79,73,80,83,54,63,Japan,Premier League,Crystal Palace,28,"184cm / 6'0""",72kg / 159lb,CAM
Presnel Kimpembe,81,74,43,67,69,81,82,France,Ligue 1 McDonald's,Paris SG,29,"189cm / 6'2""",80kg / 176lb,CB
Orkun Kökçü,81,72,76,83,80,68,79,Turkey,Liga Portugal,SL Benfica,23,"175cm / 5'9""",69kg / 152lb,CM
Ezri Konsa,81,76,48,71,76,83,78,England,Premier League,Aston Villa,26,"183cm / 6'0""",77kg / 170lb,CB
Odilon Kossounou,81,80,32,64,67,82,80,Côte d'Ivoire,Serie A Enilive,Bergamo Calcio,23,"191cm / 6'3""",82kg / 181lb,CB
Andrej Kramarić,81,71,83,79,84,33,73,Croatia,Bundesliga,TSG Hoffenheim,33,"177cm / 5'10""",73kg / 161lb,ST
Takefusa Kubo,81,84,76,76,83,40,60,Japan,LALIGA EA SPORTS,Real Sociedad,23,"173cm / 5'8""",64kg / 141lb,RW
Ruben Loftus-Cheek,81,81,76,79,82,77,83,England,Serie A Enilive,Milano FC,28,"191cm / 6'3""",88kg / 194lb,CM
Andriy Lunin,81,80,78,77,82,37,80,Ukraine,LALIGA EA SPORTS,Real Madrid,25,"191cm / 6'3""",83kg / 183lb,GK
Iñigo Martínez,81,71,56,67,61,81,80,Spain,LALIGA EA SPORTS,FC Barcelona,33,"182cm / 6'0""",76kg / 168lb,CB
Noussair Mazraoui,81,78,66,77,83,77,71,Morocco,Premier League,Man Utd,26,"183cm / 6'0""",65kg / 143lb,RB
Brais Méndez,81,71,80,82,81,65,73,Spain,LALIGA EA SPORTS,Real Sociedad,27,"187cm / 6'2""",76kg / 168lb,CM
Alex Meret,81,80,78,72,84,44,83,Italy,Serie A Enilive,SSC Napoli,27,"192cm / 6'4""",82kg / 181lb,GK
Arkadiusz Milik,81,56,82,72,77,40,72,Poland,Serie A Enilive,Juventus,30,"186cm / 6'1""",80kg / 176lb,ST
Kaoru Mitoma,81,84,73,75,85,57,65,Japan,Premier League,Brighton,27,"178cm / 5'10""",71kg / 157lb,LM
Fernando Muslera,81,81,81,71,80,35,82,Uruguay,Trendyol Süper Lig,Galatasaray,38,"190cm / 6'3""",74kg / 163lb,GK
Riccardo Orsolini,81,79,80,78,83,49,67,Italy,Serie A Enilive,Bologna,27,"183cm / 6'0""",83kg / 183lb,RM
Stefan Ortega,81,79,77,86,84,52,81,Germany,Premier League,Manchester City,31,"185cm / 6'1""",88kg / 194lb,GK
Nicolás Otamendi,81,60,57,64,59,83,83,Argentina,Liga Portugal,SL Benfica,36,"183cm / 6'0""",78kg / 172lb,CB
Isi Palazón,81,84,78,79,81,39,64,Spain,LALIGA EA SPORTS,Rayo Vallecano,29,"169cm / 5'7""",71kg / 157lb,RM
Aaron Ramsdale,81,81,79,85,83,48,78,England,Premier League,Southampton,26,"191cm / 6'3""",77kg / 170lb,GK
Marcus Rashford,81,89,83,76,82,33,64,England,Premier League,Man Utd,26,"186cm / 6'1""",70kg / 154lb,LM
David Raum,81,85,61,81,78,73,78,Germany,Bundesliga,RB Leipzig,26,"180cm / 5'11""",75kg / 165lb,LB
Stefan Savić,81,63,35,57,57,83,79,Montenegro,Trendyol Süper Lig,Trabzonspor,33,"187cm / 6'2""",80kg / 176lb,CB
Xaver Schlager,81,72,70,74,78,75,79,Austria,Bundesliga,RB Leipzig,26,"174cm / 5'9""",76kg / 168lb,CDM
Jerdy Schouten,81,65,59,72,76,80,72,Holland,Eredivisie,PSV,27,"185cm / 6'1""",74kg / 163lb,CDM
Ellyes Skhiri,81,60,73,74,75,80,76,Tunisia,Bundesliga,Frankfurt,29,"185cm / 6'1""",74kg / 163lb,CDM
Milan Škriniar,81,57,45,60,65,83,80,Slovakia,Ligue 1 McDonald's,Paris SG,29,"188cm / 6'2""",80kg / 176lb,CB
Dominic Solanke,81,75,81,66,78,29,83,England,Premier League,Spurs,27,"187cm / 6'2""",80kg / 176lb,ST
David Soria,81,81,79,73,82,43,80,Spain,LALIGA EA SPORTS,Getafe CF,31,"192cm / 6'4""",85kg / 187lb,GK
Raheem Sterling,81,85,78,75,85,42,65,England,Premier League,Arsenal,29,"172cm / 5'8""",69kg / 152lb,LM
Dominik Szoboszlai,81,82,80,84,80,59,70,Hungary,Premier League,Liverpool,23,"186cm / 6'1""",74kg / 163lb,CAM
Youri Tielemans,81,44,79,83,79,69,70,Belgium,Premier League,Aston Villa,27,"176cm / 5'9""",72kg / 159lb,CM
Manuel Ugarte,81,69,65,73,77,78,80,Uruguay,Premier League,Man Utd,23,"182cm / 6'0""",77kg / 170lb,CDM
Deniz Undav,81,67,82,75,80,33,78,Germany,Bundesliga,VfB Stuttgart,28,"179cm / 5'10""",86kg / 190lb,ST
Álvaro Valles,81,80,79,79,83,41,81,Spain,LALIGA EA SPORTS,UD Las Palmas,27,"192cm / 6'4""",82kg / 181lb,GK
Lucas Vázquez,81,81,74,80,81,74,69,Spain,LALIGA EA SPORTS,Real Madrid,33,"173cm / 5'8""",70kg / 154lb,RB
Joey Veerman,81,55,72,85,77,66,72,Holland,Eredivisie,PSV,25,"185cm / 6'1""",75kg / 165lb,CM
Vivian,81,79,48,57,69,82,81,Spain,LALIGA EA SPORTS,Athletic Club,25,"183cm / 6'0""",83kg / 183lb,CB
Callum Wilson,81,78,82,67,79,42,75,England,Premier League,Newcastle Utd,32,"180cm / 5'11""",66kg / 146lb,ST
Lamine Yamal,81,82,75,76,82,23,48,Spain,LALIGA EA SPORTS,FC Barcelona,17,"180cm / 5'11""",65kg / 143lb,RW
Wilfried Zaha,81,86,78,73,85,37,75,Côte d'Ivoire,Ligue 1 McDonald's,OL,31,"180cm / 5'11""",66kg / 146lb,LM
Piotr Zieliński,81,78,76,80,83,71,62,Poland,Serie A Enilive,Lombardia FC,30,"180cm / 5'11""",75kg / 165lb,CM
Martín Zubimendi,81,64,67,75,77,78,71,Spain,LALIGA EA SPORTS,Real Sociedad,25,"181cm / 5'11""",74kg / 163lb,CDM
Salem Al Dawsari,80,85,75,72,84,52,80,Saudi Arabia,ROSHN Saudi League,Al Hilal,33,"173cm / 5'8""",71kg / 157lb,LM
Ali Al Musrati,80,62,66,71,71,78,84,Libya,Trendyol Süper Lig,Beşiktaş,28,"189cm / 6'2""",83kg / 183lb,CDM
Jordi Alba,80,82,70,80,81,72,69,Spain,MLS,Inter Miami CF,35,"170cm / 5'7""",68kg / 150lb,LB
Toby Alderweireld,80,50,61,74,66,81,82,Belgium,1A Pro League,Royal Antwerp FC,35,"187cm / 6'2""",91kg / 201lb,CB
Joachim Andersen,80,52,57,72,66,79,84,Denmark,Premier League,Fulham,28,"192cm / 6'4""",90kg / 198lb,CB
Benjamin André,80,61,64,73,75,78,83,France,Ligue 1 McDonald's,LOSC Lille,34,"180cm / 5'11""",76kg / 168lb,CDM
Marko Arnautović,80,70,79,78,79,44,78,Austria,Serie A Enilive,Lombardia FC,35,"192cm / 6'4""",83kg / 183lb,ST
Maximilian Arnold,80,63,79,79,77,76,76,Germany,Bundesliga,VfL Wolfsburg,30,"184cm / 6'0""",74kg / 163lb,CDM
Fredrik Aursnes,80,76,66,77,80,76,81,Norway,Liga Portugal,SL Benfica,28,"179cm / 5'10""",71kg / 157lb,RB
Simon Banza,80,75,80,56,76,36,77,Congo DR,Liga Portugal,SC Braga,28,"189cm / 6'2""",77kg / 170lb,ST
Roberto Firmino,80,67,75,79,85,58,76,Brazil,ROSHN Saudi League,Al Ahli,32,"181cm / 5'11""",76kg / 168lb,CAM
Bradley Barcola,80,88,74,75,81,34,64,France,Ligue 1 McDonald's,Paris SG,22,"186cm / 6'1""",70kg / 154lb,LW
Harvey Barnes,80,85,78,75,81,43,68,England,Premier League,Newcastle Utd,26,"185cm / 6'1""",72kg / 159lb,LW
Christoph Baumgartner,80,77,74,74,82,47,60,Austria,Bundesliga,RB Leipzig,25,"180cm / 5'11""",73kg / 161lb,CAM
Walter Benítez,80,79,78,72,82,37,79,Argentina,Eredivisie,PSV,31,"191cm / 6'3""",93kg / 205lb,GK
Gonçalo Inácio,80,80,37,64,71,81,79,Portugal,Liga Portugal,Sporting CP,23,"185cm / 6'1""",78kg / 172lb,CB
Yves Bissouma,80,71,67,75,81,78,77,Mali,Premier League,Spurs,28,"182cm / 6'0""",78kg / 172lb,CDM
Daley Blind,80,36,62,83,77,83,70,Holland,LALIGA EA SPORTS,Girona FC,34,"180cm / 5'11""",72kg / 159lb,CB
Denis Bouanga,80,85,81,74,79,38,79,Gabon,MLS,LAFC,29,"180cm / 5'11""",71kg / 157lb,LW
Yan Couto,80,85,61,76,81,72,64,Brazil,Bundesliga,Borussia Dortmund,22,"168cm / 5'6""",60kg / 132lb,RM
Alessandro Buongiorno,80,65,45,69,65,82,76,Italy,Serie A Enilive,SSC Napoli,25,"190cm / 6'3""",86kg / 190lb,CB
Davide Calabria,80,78,57,70,76,79,71,Italy,Serie A Enilive,Milano FC,27,"177cm / 5'10""",70kg / 154lb,RB
Lucas Chevalier,80,80,79,72,83,45,78,France,Ligue 1 McDonald's,LOSC Lille,22,"189cm / 6'2""",78kg / 172lb,GK
Samuel Chukwueze,80,88,74,74,83,36,61,Nigeria,Serie A Enilive,Milano FC,25,"172cm / 5'8""",70kg / 154lb,RW
Jonathan Clauss,80,88,69,76,78,73,69,France,Ligue 1 McDonald's,OGC Nice,31,"178cm / 5'10""",69kg / 152lb,RB
Kevin Danso,80,75,32,57,62,80,85,Austria,Ligue 1 McDonald's,RC Lens,25,"190cm / 6'3""",85kg / 187lb,CB
Evanilson,80,76,78,65,78,37,80,Brazil,Premier League,AFC Bournemouth,24,"181cm / 5'11""",77kg / 170lb,ST
De Marcos,80,79,64,74,75,77,78,Spain,LALIGA EA SPORTS,Athletic Club,35,"182cm / 6'0""",78kg / 172lb,RB
Michele Di Gregorio,80,82,78,78,82,56,82,Italy,Serie A Enilive,Juventus,27,"187cm / 6'2""",82kg / 181lb,GK
Eric Dier,80,58,63,70,63,81,81,England,Bundesliga,FC Bayern München,30,"191cm / 6'3""",91kg / 201lb,CB
Jeremy Doku,80,92,72,73,86,30,68,Belgium,Premier League,Manchester City,22,"173cm / 5'8""",77kg / 170lb,LW
Éderson,80,72,68,75,79,77,80,Brazil,Serie A Enilive,Bergamo Calcio,25,"183cm / 6'0""",86kg / 190lb,CM
Wataru Endo,80,60,68,71,78,79,76,Japan,Premier League,Liverpool,31,"178cm / 5'10""",77kg / 170lb,CDM
Pervis Estupiñán,80,78,57,75,79,77,75,Ecuador,Premier League,Brighton,26,"175cm / 5'9""",79kg / 174lb,LB
Wladimiro Falcone,80,83,79,75,84,27,76,Italy,Serie A Enilive,Lecce,29,"196cm / 6'5""",85kg / 187lb,GK
João Félix,80,80,78,77,84,40,67,Portugal,Premier League,Chelsea,24,"181cm / 5'11""",70kg / 154lb,LW
Suso,80,72,76,80,83,32,51,Spain,LALIGA EA SPORTS,Sevilla FC,30,"177cm / 5'10""",70kg / 154lb,RM
Seko Fofana,80,71,77,76,78,73,86,Côte d'Ivoire,ROSHN Saudi League,Ettifaq FC,29,"185cm / 6'1""",74kg / 163lb,CM
Juan Foyth,80,71,46,71,72,81,77,Argentina,LALIGA EA SPORTS,Villarreal CF,26,"187cm / 6'2""",83kg / 183lb,RB
Javi Galán,80,79,56,74,79,77,72,Spain,LALIGA EA SPORTS,Atlético de Madrid,29,"172cm / 5'8""",70kg / 154lb,LB
Pepelu,80,68,70,80,77,75,78,Spain,LALIGA EA SPORTS,Valencia CF,26,"186cm / 6'1""",73kg / 161lb,CM
Nuno Santos,80,83,81,76,80,70,76,Portugal,Liga Portugal,Sporting CP,29,"177cm / 5'10""",72kg / 159lb,LM
Joe Gomez,80,82,28,71,72,80,79,England,Premier League,Liverpool,27,"188cm / 6'2""",77kg / 170lb,CB
Nicolás González,80,85,76,73,83,45,62,Argentina,Serie A Enilive,Juventus,26,"180cm / 5'11""",72kg / 159lb,RW
Mario Götze,80,55,74,83,83,55,69,Germany,Bundesliga,Frankfurt,32,"176cm / 5'9""",72kg / 159lb,CAM
Vincenzo Grifo,80,69,77,82,81,43,64,Italy,Bundesliga,SC Freiburg,31,"180cm / 5'11""",80kg / 176lb,LM
Nemanja Gudelj,80,54,73,78,70,79,85,Serbia,LALIGA EA SPORTS,Sevilla FC,32,"187cm / 6'2""",79kg / 174lb,CB
Albert Guðmundsson,80,87,79,70,83,37,72,Iceland,Serie A Enilive,Fiorentina,27,"178cm / 5'10""",78kg / 172lb,ST
Mattéo Guendouzi,80,72,71,78,79,75,81,France,Serie A Enilive,Latium,25,"185cm / 6'1""",68kg / 150lb,CM
Malo Gusto,80,88,49,75,78,73,75,France,Premier League,Chelsea,21,"178cm / 5'10""",67kg / 148lb,RB
Miguel Gutiérrez,80,81,64,76,80,75,72,Spain,LALIGA EA SPORTS,Girona FC,23,"180cm / 5'11""",73kg / 161lb,LB
Amadou Haidara,80,66,72,79,81,72,69,Mali,Bundesliga,RB Leipzig,26,"175cm / 5'9""",72kg / 159lb,CM
Danilo Pereira,80,50,63,70,70,80,84,Portugal,ROSHN Saudi League,Al Ittihad,33,"188cm / 6'2""",83kg / 183lb,CB
Jordan Henderson,80,64,72,81,76,75,78,England,Eredivisie,Ajax,34,"187cm / 6'2""",80kg / 176lb,CDM
Morten Hjulmand,80,65,66,76,74,75,83,Denmark,Liga Portugal,Sporting CP,25,"185cm / 6'1""",77kg / 170lb,CDM
